Test ID,Timestamp,Environment,Keyword,Status,Response Time (ms),HTTP Status Code,Error Message,Test Duration (s)
TST_001,2025-11-05T17:39:29.899Z,prod-api,refrigerator (Refrigerators),PASS,1267,200,,1.3
TST_002,2025-11-05T17:39:31.404Z,prod-api,bosch dishwasher (Dishwashers),PASS,851,200,,0.87
