Test ID,Timestamp,Environment,Keyword,Status,Response Time (ms),HTTP Status Code,Error Message,Test Duration (s)
TST_001,2025-11-05T18:31:31.091Z,prod-api,refrigerator (Refrigerators),PASS,1339,200,,1.36
TST_002,2025-11-05T18:31:32.408Z,prod-api,bosch dishwasher (Dishwashers),PASS,680,200,,0.7
