Test ID,Timestamp,Environment,Keyword,Status,Pass Percentage (%),Matched/Total,Status Color,Response Time (ms),HTTP Status Code,Error Message,Test Duration (s)
TST_042,2025-11-06T03:39:49.622Z,prod-api,ge refrigerator water filter (Refrigerator),PASS,10000.00%,5/5,#C8E6C9,1161,200,,1.18
TST_043,2025-11-06T03:39:51.244Z,prod-api,kitchenaid refrigerators (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,693,200,,0.71
TST_044,2025-11-06T03:39:53.199Z,prod-api,panel ready refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1056,200,,1.07
TST_045,2025-11-06T03:39:54.352Z,prod-api,refrigeration (Refrigerator),PASS,10000.00%,100/100,#C8E6C9,214,200,,0.24
TST_046,2025-11-06T03:39:56.283Z,prod-api,refrigerator clearance sale (Refrigerator),PASS,10000.00%,1/1,#C8E6C9,1023,200,,1.03
TST_047,2025-11-06T03:39:58.160Z,prod-api,retro refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,973,200,,0.98
TST_048,2025-11-06T03:39:59.750Z,prod-api,samsung refrigerator parts (Refrigerator),PASS,10000.00%,2/2,#C8E6C9,615,200,,0.63
TST_049,2025-11-06T03:40:01.264Z,prod-api,small refrigerator with freezer (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,735,200,,0.75
TST_050,2025-11-06T03:40:03.418Z,prod-api,small refrigerators (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1231,200,,1.25
TST_051,2025-11-06T03:40:04.501Z,prod-api,freezers (Freezer Refrigerator),PASS,10000.00%,100/100,#C8E6C9,176,200,,0.19
TST_052,2025-11-06T03:40:06.503Z,prod-api,chest freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,932,200,,0.95
TST_053,2025-11-06T03:40:08.319Z,prod-api,deep freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,960,200,,0.97
TST_054,2025-11-06T03:40:09.942Z,prod-api,upright freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,676,200,,0.69
TST_055,2025-11-06T03:40:11.935Z,prod-api,small freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,963,200,,0.98
TST_056,2025-11-06T03:40:13.403Z,prod-api,mini freezers (Freezer Refrigerator),PASS,10000.00%,10/10,#C8E6C9,613,200,,0.63
TST_057,2025-11-06T03:40:16.891Z,prod-api,freezers for sale (Freezer Refrigerator),REVIEW,N/A,0/0,#FFE0B2,2421,200,No results returned; requires manual review.,2.43
