Test ID,Timestamp,Environment,Keyword,Status,Pass Percentage (%),Matched/Total,Status Color,Response Time (ms),HTTP Status Code,Error Message,Test Duration (s)
TST_169,2025-11-06T03:44:57.635Z,prod-api,wine bottle cooler (Wine Cooler),FAIL,3000.00%,3/10,#FFCDD2,1473,200,"Matched 3 of 10 item(s). Sample mismatches: {categoryName: ""Cooking"", productName: ""Bosch 500 Series 30"" 2.1 cu. ft. Sensor Cooking, Automatic Defrost, Popcorn Program and LED Lighting Over the Range Microwave""}, {categoryName: ""Cooking"", productName: ""GE 1.6 Cu. Ft. Over-the-Range Microwave Oven in Stainless Steel with 300 CFM Exhaust Fan, 1,000 Cooking Watts, Auto and Time Defrost and Convenience Cooking Controls""}, {categoryName: ""Cooking"", productName: ""GE 1.7 Cu. Ft. Weight and Time Defrost, Clock and Timer and Charcoal Filter: Stainless Steel Over-the-Range Sensor Microwave Oven""}",1.5
TST_170,2025-11-06T03:45:03.847Z,prod-api,wine cellar cooling systems (Wine Cooler),FAIL,0.00%,0/10,#FFCDD2,1358,200,"Matched 0 of 10 item(s). Sample mismatches: {categoryName: ""Cooking"", productName: ""Bosch 500 Series 30"" 2.1 cu. ft. Sensor Cooking, Automatic Defrost, Popcorn Program and LED Lighting Over the Range Microwave""}, {categoryName: ""Cooking"", productName: ""GE 1.6 Cu. Ft. Over-the-Range Microwave Oven in Stainless Steel with 300 CFM Exhaust Fan, 1,000 Cooking Watts, Auto and Time Defrost and Convenience Cooking Controls""}, {categoryName: ""Cooking"", productName: ""GE 1.7 Cu. Ft. Weight and Time Defrost, Clock and Timer and Charcoal Filter: Stainless Steel Over-the-Range Sensor Microwave Oven""}",1.39
TST_171,2025-11-06T03:45:10.205Z,prod-api,zephyr wine cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,1348,200,,1.38
TST_172,2025-11-06T03:45:12.957Z,prod-api,avanti wine cooler (Wine Cooler),PASS,10000.00%,1/1,#C8E6C9,903,200,,0.92
TST_173,2025-11-06T03:45:15.967Z,prod-api,built in wine cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,1067,200,,1.08
TST_174,2025-11-06T03:45:18.964Z,prod-api,countertop wine cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,999,200,,1.02
TST_175,2025-11-06T03:45:20.991Z,prod-api,cuisinart wine cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,577,200,,0.59
TST_176,2025-11-06T03:45:23.446Z,prod-api,danby wine cooler (Wine Cooler),REVIEW,N/A,0/0,#FFE0B2,541,200,No results returned; requires manual review.,0.55
TST_177,2025-11-06T03:45:25.993Z,prod-api,dual zone wine cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,825,200,,0.84
TST_178,2025-11-06T03:45:28.642Z,prod-api,side exhaust wine cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,1115,200,,1.13
TST_179,2025-11-06T03:45:30.804Z,prod-api,side exit wine cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,616,200,,0.62
TST_180,2025-11-06T03:45:33.679Z,prod-api,wine cellar cooling units (Wine Cooler),FAIL,0.00%,0/10,#FFCDD2,1030,200,"Matched 0 of 10 item(s). Sample mismatches: {categoryName: ""Cooking"", productName: ""Bosch 500 Series 30"" 2.1 cu. ft. Sensor Cooking, Automatic Defrost, Popcorn Program and LED Lighting Over the Range Microwave""}, {categoryName: ""Cooking"", productName: ""GE 1.6 Cu. Ft. Over-the-Range Microwave Oven in Stainless Steel with 300 CFM Exhaust Fan, 1,000 Cooking Watts, Auto and Time Defrost and Convenience Cooking Controls""}, {categoryName: ""Cooking"", productName: ""GE 1.7 Cu. Ft. Weight and Time Defrost, Clock and Timer and Charcoal Filter: Stainless Steel Over-the-Range Sensor Microwave Oven""}",1.06
TST_181,2025-11-06T03:45:39.570Z,prod-api,wine enthusiast cooler (Wine Cooler),FAIL,0.00%,0/10,#FFCDD2,1139,200,"Matched 0 of 10 item(s). Sample mismatches: {categoryName: ""Cooking"", productName: ""Bosch 500 Series 30"" 2.1 cu. ft. Sensor Cooking, Automatic Defrost, Popcorn Program and LED Lighting Over the Range Microwave""}, {categoryName: ""Cooking"", productName: ""GE 1.6 Cu. Ft. Over-the-Range Microwave Oven in Stainless Steel with 300 CFM Exhaust Fan, 1,000 Cooking Watts, Auto and Time Defrost and Convenience Cooking Controls""}, {categoryName: ""Cooking"", productName: ""GE 1.7 Cu. Ft. Weight and Time Defrost, Clock and Timer and Charcoal Filter: Stainless Steel Over-the-Range Sensor Microwave Oven""}",1.17
TST_182,2025-11-06T03:45:45.843Z,prod-api,beer wine cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,1268,200,,1.3
TST_183,2025-11-06T03:45:48.844Z,prod-api,cool wine fridges (Wine Cooler),PASS,10000.00%,9/9,#C8E6C9,1149,200,,1.17
TST_184,2025-11-06T03:45:51.918Z,prod-api,fridge and wine cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,807,200,,0.82
TST_185,2025-11-06T03:45:54.559Z,prod-api,haier cooler wine (Wine Cooler),REVIEW,N/A,0/0,#FFE0B2,553,200,No results returned; requires manual review.,0.56
TST_186,2025-11-06T03:45:57.453Z,prod-api,undercounter wine cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,816,200,,0.83
TST_187,2025-11-06T03:46:00.451Z,prod-api,wine cabinet with wine cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,857,200,,0.86
TST_188,2025-11-06T03:46:03.415Z,prod-api,wine cellar cooling (Wine Cooler),FAIL,0.00%,0/10,#FFCDD2,753,200,"Matched 0 of 10 item(s). Sample mismatches: {categoryName: ""Cooking"", productName: ""Bosch 500 Series 30"" 2.1 cu. ft. Sensor Cooking, Automatic Defrost, Popcorn Program and LED Lighting Over the Range Microwave""}, {categoryName: ""Cooking"", productName: ""GE 1.6 Cu. Ft. Over-the-Range Microwave Oven in Stainless Steel with 300 CFM Exhaust Fan, 1,000 Cooking Watts, Auto and Time Defrost and Convenience Cooking Controls""}, {categoryName: ""Cooking"", productName: ""GE 1.7 Cu. Ft. Weight and Time Defrost, Clock and Timer and Charcoal Filter: Stainless Steel Over-the-Range Sensor Microwave Oven""}",0.77
TST_189,2025-11-06T03:46:09.735Z,prod-api,wine cooler dual zone (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,1368,200,,1.39
TST_190,2025-11-06T03:46:12.799Z,prod-api,kitchen aid wine cooler with small handle (Wine Cooler),PASS,10000.00%,8/8,#C8E6C9,945,200,,0.97
TST_191,2025-11-06T03:46:15.992Z,prod-api,kitchenaid wine cooler (Wine Cooler),PASS,10000.00%,8/8,#C8E6C9,961,200,,0.98
TST_192,2025-11-06T03:46:18.857Z,prod-api,marvel wine cooler (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,647,200,,0.66
TST_193,2025-11-06T03:46:21.361Z,prod-api,winecooler (Wine Cooler),PASS,10000.00%,100/100,#C8E6C9,286,200,,0.31
TST_194,2025-11-06T03:46:24.511Z,prod-api,wine refrigerator (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,1160,200,,1.18
TST_195,2025-11-06T03:46:27.555Z,prod-api,wine refrigerator cabinet (Wine Cooler),PASS,10000.00%,2/2,#C8E6C9,933,200,,0.95
TST_196,2025-11-06T03:46:30.288Z,prod-api,wine refrigerators (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,650,200,,0.67
TST_197,2025-11-06T03:46:33.330Z,prod-api,under counter wine refrigerator (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,1020,200,,1.04
TST_198,2025-11-06T03:46:36.347Z,prod-api,wine refrigerators small (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,731,200,,0.75
TST_199,2025-11-06T03:46:39.261Z,prod-api,dual zone wine refrigerator (Wine Cooler),PASS,10000.00%,10/10,#C8E6C9,628,200,,0.64
TST_200,2025-11-06T03:46:41.945Z,prod-api,wine and beverage refrigerator (Wine Cooler),PASS,10000.00%,2/2,#C8E6C9,766,200,,0.78
TST_201,2025-11-06T03:46:44.575Z,prod-api,beer cooler (Beer Coolers Kegerator),FAIL,4000.00%,4/10,#FFCDD2,768,200,"Matched 4 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""U-Line 24"" Keg Refrigerator With Stainless Solid Finish,  Chrome Plated Wire Shelves, Interior Stainless Steel Liner, 5.5 Cu. Ft. Capacity EnergyStar® and Star-K Certified""}, {categoryName: ""Refrigerators"", productName: ""Marvel 24-in Built-in Dispenser with Twin Wine & Beverage Tap with Door Style - Panel Ready, Dispenser Type - Twin Wine""}, {categoryName: ""Refrigerators"", productName: ""Marvel 24-in Built-in Dispenser with Single Wine & Beverage Tap with Door Style - Panel Ready, Dispenser Type - Single Wine""}",0.78
TST_202,2025-11-06T03:46:50.937Z,prod-api,beer cooler fridge (Beer Coolers Kegerator),FAIL,0.00%,0/10,#FFCDD2,1658,200,"Matched 0 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""Bosch 36"" 21 cu ft Smart Counter Depth French Door Bottom Freezer Refrigerator with Ice & Water""}, {categoryName: ""Refrigerators"", productName: ""Bosch 800 Series French Door Bottom Mount Refrigerator 36"" Stainless steel with anti-fingerprint, Ice Maker, Touch Control Panel""}, {categoryName: ""Refrigerators"", productName: ""Bosch 20.8 cu ft Smart Counter Depth French Door Refrigerator with Internal Water Dispenser & Ice""}",1.68
TST_203,2025-11-06T03:46:57.094Z,prod-api,wine and beer cooler (Beer Coolers Kegerator),FAIL,5000.00%,5/10,#FFCDD2,903,200,"Matched 5 of 10 item(s). Sample mismatches: {categoryName: ""Cooking"", productName: ""GE Profile 2.1 Cu. Ft. Over-the-range Microwave with Sensor Cooking""}, {categoryName: ""Cooking"", productName: ""LG 30 Inch Over-the-Range Smart Microwave Oven with 1.7 cu. ft. Capacity, 300 CFM Exhaust, Air Fry, Convection Cooking, Sensor Cook, Add 30 Seconds - Stainless Steel""}, {categoryName: ""Cooking"", productName: ""Cafe 2.1 Cu. Ft. Over-the-Range Microwave Oven with Sensor Cooking in Stainless Steel""}",0.93
TST_204,2025-11-06T03:47:02.696Z,prod-api,beer wine cooler (Beer Coolers Kegerator),PASS,10000.00%,10/10,#C8E6C9,367,200,,0.4
TST_205,2025-11-06T03:47:06.482Z,prod-api,beer fridge (Beer Coolers Kegerator),FAIL,0.00%,0/10,#FFCDD2,1584,200,"Matched 0 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""Bosch 36"" 21 cu ft Smart Counter Depth French Door Bottom Freezer Refrigerator with Ice & Water""}, {categoryName: ""Refrigerators"", productName: ""Bosch 800 Series French Door Bottom Mount Refrigerator 36"" Stainless steel with anti-fingerprint, Ice Maker, Touch Control Panel""}, {categoryName: ""Refrigerators"", productName: ""Bosch 20.8 cu ft Smart Counter Depth French Door Refrigerator with Internal Water Dispenser & Ice""}",1.6
TST_206,2025-11-06T03:47:12.584Z,prod-api,wine and beer fridge (Beer Coolers Kegerator),FAIL,1000.00%,1/10,#FFCDD2,919,200,"Matched 1 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""Bosch 36"" 21 cu ft Smart Counter Depth French Door Bottom Freezer Refrigerator with Ice & Water""}, {categoryName: ""Refrigerators"", productName: ""Bosch 800 Series French Door Bottom Mount Refrigerator 36"" Stainless steel with anti-fingerprint, Ice Maker, Touch Control Panel""}, {categoryName: ""Refrigerators"", productName: ""Bosch 20.8 cu ft Smart Counter Depth French Door Refrigerator with Internal Water Dispenser & Ice""}",0.95
TST_207,2025-11-06T03:47:18.995Z,prod-api,mini beer fridge (Beer Coolers Kegerator),FAIL,0.00%,0/10,#FFCDD2,1300,200,"Matched 0 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""Bosch 800 Series French Door Bottom Mount Refrigerator 36"" Stainless steel with anti-fingerprint, Ice Maker, Touch Control Panel""}, {categoryName: ""Refrigerators"", productName: ""LG 29 cu. ft. Standard-Depth MAX French Door Refrigerator with Dual Ice Maker, Linear Cooling(TM), SmartDiagnosis(TM), 6 Door Bins - Stainless Steel""}, {categoryName: ""Refrigerators"", productName: ""Bosch 36"" 21 cu ft Smart Counter Depth French Door Bar Handle Refrigerator with Ice and Water""}",1.33
TST_208,2025-11-06T03:47:24.991Z,prod-api,mini fridge with beer (Beer Coolers Kegerator),FAIL,9000.00%,9/10,#FFCDD2,890,200,"Matched 9 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""LG 23 cu. ft. Door-In-Door 4-Door French Door Refrigerator, Dual and Craft Ice, Counter Depth""}",0.92
TST_209,2025-11-06T03:47:30.486Z,prod-api,beer cooler fridge (Beer Coolers Kegerator),FAIL,0.00%,0/10,#FFCDD2,374,200,"Matched 0 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""Bosch 36"" 21 cu ft Smart Counter Depth French Door Bottom Freezer Refrigerator with Ice & Water""}, {categoryName: ""Refrigerators"", productName: ""Bosch 800 Series French Door Bottom Mount Refrigerator 36"" Stainless steel with anti-fingerprint, Ice Maker, Touch Control Panel""}, {categoryName: ""Refrigerators"", productName: ""Bosch 20.8 cu ft Smart Counter Depth French Door Refrigerator with Internal Water Dispenser & Ice""}",0.4
TST_210,2025-11-06T03:47:36.824Z,prod-api,wine beer fridge (Beer Coolers Kegerator),FAIL,0.00%,0/10,#FFCDD2,1191,200,"Matched 0 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""Bosch 36"" 21 cu ft Smart Counter Depth French Door Bottom Freezer Refrigerator with Ice & Water""}, {categoryName: ""Refrigerators"", productName: ""Bosch 800 Series French Door Bottom Mount Refrigerator 36"" Stainless steel with anti-fingerprint, Ice Maker, Touch Control Panel""}, {categoryName: ""Refrigerators"", productName: ""Bosch 20.8 cu ft Smart Counter Depth French Door Refrigerator with Internal Water Dispenser & Ice""}",1.22
TST_211,2025-11-06T03:47:43.002Z,prod-api,garage beer fridge (Beer Coolers Kegerator),FAIL,0.00%,0/10,#FFCDD2,925,200,"Matched 0 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""Bosch 36"" 21 cu ft Smart Counter Depth French Door Bottom Freezer Refrigerator with Ice & Water""}, {categoryName: ""Refrigerators"", productName: ""Bosch 800 Series French Door Bottom Mount Refrigerator 36"" Stainless steel with anti-fingerprint, Ice Maker, Touch Control Panel""}, {categoryName: ""Refrigerators"", productName: ""Bosch 20.8 cu ft Smart Counter Depth French Door Refrigerator with Internal Water Dispenser & Ice""}",0.95
TST_212,2025-11-06T03:47:49.064Z,prod-api,beer and wine fridge (Beer Coolers Kegerator),FAIL,1000.00%,1/10,#FFCDD2,919,200,"Matched 1 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""Bosch 36"" 21 cu ft Smart Counter Depth French Door Bottom Freezer Refrigerator with Ice & Water""}, {categoryName: ""Refrigerators"", productName: ""Bosch 800 Series French Door Bottom Mount Refrigerator 36"" Stainless steel with anti-fingerprint, Ice Maker, Touch Control Panel""}, {categoryName: ""Refrigerators"", productName: ""Bosch 20.8 cu ft Smart Counter Depth French Door Refrigerator with Internal Water Dispenser & Ice""}",0.95
TST_213,2025-11-06T03:47:55.341Z,prod-api,commercial beer fridge (Beer Coolers Kegerator),FAIL,0.00%,0/10,#FFCDD2,1003,200,"Matched 0 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""Bosch 36"" 21 cu ft Smart Counter Depth French Door Bottom Freezer Refrigerator with Ice & Water""}, {categoryName: ""Refrigerators"", productName: ""Bosch 800 Series French Door Bottom Mount Refrigerator 36"" Stainless steel with anti-fingerprint, Ice Maker, Touch Control Panel""}, {categoryName: ""Refrigerators"", productName: ""Bosch 20.8 cu ft Smart Counter Depth French Door Refrigerator with Internal Water Dispenser & Ice""}",1.03
TST_214,2025-11-06T03:48:00.811Z,prod-api,fridge beer cooler (Beer Coolers Kegerator),FAIL,0.00%,0/10,#FFCDD2,943,200,"Matched 0 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""Bosch 36"" 21 cu ft Smart Counter Depth French Door Bottom Freezer Refrigerator with Ice & Water""}, {categoryName: ""Refrigerators"", productName: ""Bosch 800 Series French Door Bottom Mount Refrigerator 36"" Stainless steel with anti-fingerprint, Ice Maker, Touch Control Panel""}, {categoryName: ""Refrigerators"", productName: ""Bosch 20.8 cu ft Smart Counter Depth French Door Refrigerator with Internal Water Dispenser & Ice""}",0.97
TST_215,2025-11-06T03:48:07.282Z,prod-api,beer fridge refrigerator (Beer Coolers Kegerator),PASS,10000.00%,10/10,#C8E6C9,1271,200,,1.3
TST_216,2025-11-06T03:48:09.953Z,prod-api,beer mini fridge (Beer Coolers Kegerator),FAIL,0.00%,0/10,#FFCDD2,617,200,"Matched 0 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""Bosch 36"" 21 cu ft Smart Counter Depth French Door Bottom Freezer Refrigerator with Ice & Water""}, {categoryName: ""Refrigerators"", productName: ""Bosch 800 Series French Door Bottom Mount Refrigerator 36"" Stainless steel with anti-fingerprint, Ice Maker, Touch Control Panel""}, {categoryName: ""Refrigerators"", productName: ""Bosch 20.8 cu ft Smart Counter Depth French Door Refrigerator with Internal Water Dispenser & Ice""}",0.64
TST_217,2025-11-06T03:48:15.665Z,prod-api,kegerator (Beer Coolers Kegerator),FAIL,7200.00%,72/100,#FFCDD2,559,200,"Matched 72 of 100 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""U-Line 24"" Keg Refrigerator With Stainless Solid Finish,  Chrome Plated Wire Shelves, Interior Stainless Steel Liner, 5.5 Cu. Ft. Capacity EnergyStar® and Star-K Certified""}, {categoryName: ""Refrigerators"", productName: ""Marvel 24-in Built-in Dispenser with Twin Wine & Beverage Tap with Door Style - Panel Ready, Dispenser Type - Twin Wine""}, {categoryName: ""Refrigerators"", productName: ""Marvel 24-in Built-in Dispenser with Single Wine & Beverage Tap with Door Style - Panel Ready, Dispenser Type - Single Wine""}",0.6
TST_218,2025-11-06T03:48:21.237Z,prod-api,kegerators (Beer Coolers Kegerator),FAIL,7200.00%,72/100,#FFCDD2,534,200,"Matched 72 of 100 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""U-Line 24"" Keg Refrigerator With Stainless Solid Finish,  Chrome Plated Wire Shelves, Interior Stainless Steel Liner, 5.5 Cu. Ft. Capacity EnergyStar® and Star-K Certified""}, {categoryName: ""Refrigerators"", productName: ""Marvel 24-in Built-in Dispenser with Twin Wine & Beverage Tap with Door Style - Panel Ready, Dispenser Type - Twin Wine""}, {categoryName: ""Refrigerators"", productName: ""Marvel 24-in Built-in Dispenser with Single Wine & Beverage Tap with Door Style - Panel Ready, Dispenser Type - Single Wine""}",0.58
TST_219,2025-11-06T03:48:27.022Z,prod-api,kegerator fridge (Beer Coolers Kegerator),FAIL,0.00%,0/10,#FFCDD2,896,200,"Matched 0 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""Bosch 36"" 21 cu ft Smart Counter Depth French Door Bottom Freezer Refrigerator with Ice & Water""}, {categoryName: ""Refrigerators"", productName: ""Bosch 800 Series French Door Bottom Mount Refrigerator 36"" Stainless steel with anti-fingerprint, Ice Maker, Touch Control Panel""}, {categoryName: ""Refrigerators"", productName: ""Bosch 20.8 cu ft Smart Counter Depth French Door Refrigerator with Internal Water Dispenser & Ice""}",0.93
TST_220,2025-11-06T03:48:33.129Z,prod-api,mini kegerator (Beer Coolers Kegerator),FAIL,0.00%,0/1,#FFCDD2,1159,200,"Matched 0 of 1 item(s). Sample mismatches: {categoryName: ""Cooking"", productName: ""Whirlpool 30 Inch Smart Over-the-Range Microwave with 1.1 Cu. Ft. Capacity, 3-Speed 450 CFM Motor, 1000-Watt Cooking Power, 10 Power Levels, Popcorn Preset, Add 30 Seconds, LED Cooktop Lighting, Tap-to-Open Door, Sensor Cooking, and Microwave Presets: Fingerprint Resistant Stainless Steel""}",1.19
TST_221,2025-11-06T03:48:38.855Z,prod-api,half kegerator (Beer Coolers Kegerator),FAIL,6000.00%,6/10,#FFCDD2,943,200,"Matched 6 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""Marvel 24-in Built-in Dispenser with Twin Wine & Beverage Tap with Door Style - Panel Ready, Dispenser Type - Twin Wine""}, {categoryName: ""Refrigerators"", productName: ""Marvel 24-in Built-in Dispenser with Single Wine & Beverage Tap with Door Style - Panel Ready, Dispenser Type - Single Wine""}, {categoryName: ""Refrigerators"", productName: ""Marvel 24-in Built-in Dispenser with Twin Wine & Beverage Tap with Door Style - Stainless Steel, Dispenser Type - Twin Wine""}",0.97
TST_222,2025-11-06T03:48:44.446Z,prod-api,kegerator beer (Beer Coolers Kegerator),FAIL,4000.00%,4/10,#FFCDD2,1156,200,"Matched 4 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""U-Line 24"" Keg Refrigerator With Stainless Solid Finish,  Chrome Plated Wire Shelves, Interior Stainless Steel Liner, 5.5 Cu. Ft. Capacity EnergyStar® and Star-K Certified""}, {categoryName: ""Refrigerators"", productName: ""Marvel 24-in Built-in Dispenser with Twin Wine & Beverage Tap with Door Style - Panel Ready, Dispenser Type - Twin Wine""}, {categoryName: ""Refrigerators"", productName: ""Marvel 24-in Built-in Dispenser with Single Wine & Beverage Tap with Door Style - Panel Ready, Dispenser Type - Single Wine""}",1.19
TST_223,2025-11-06T03:48:50.526Z,prod-api,outdoor kegerator (Beer Coolers Kegerator),PASS,10000.00%,10/10,#C8E6C9,1016,200,,1.04
TST_224,2025-11-06T03:48:53.570Z,prod-api,cooler kegerator (Beer Coolers Kegerator),FAIL,4000.00%,4/10,#FFCDD2,933,200,"Matched 4 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""U-Line 24"" Keg Refrigerator With Stainless Solid Finish,  Chrome Plated Wire Shelves, Interior Stainless Steel Liner, 5.5 Cu. Ft. Capacity EnergyStar® and Star-K Certified""}, {categoryName: ""Refrigerators"", productName: ""Marvel 24-in Built-in Dispenser with Twin Wine & Beverage Tap with Door Style - Panel Ready, Dispenser Type - Twin Wine""}, {categoryName: ""Refrigerators"", productName: ""Marvel 24-in Built-in Dispenser with Single Wine & Beverage Tap with Door Style - Panel Ready, Dispenser Type - Single Wine""}",0.95
TST_225,2025-11-06T03:49:00.163Z,prod-api,miniature kegerator (Beer Coolers Kegerator),PASS,10000.00%,10/10,#C8E6C9,1116,200,,1.14
TST_226,2025-11-06T03:49:03.534Z,prod-api,small kegerator (Beer Coolers Kegerator),FAIL,0.00%,0/1,#FFCDD2,816,200,"Matched 0 of 1 item(s). Sample mismatches: {categoryName: ""Cooking"", productName: ""Whirlpool 30 Inch Smart Over-the-Range Microwave with 1.1 Cu. Ft. Capacity, 3-Speed 450 CFM Motor, 1000-Watt Cooking Power, 10 Power Levels, Popcorn Preset, Add 30 Seconds, LED Cooktop Lighting, Tap-to-Open Door, Sensor Cooking, and Microwave Presets: Fingerprint Resistant Stainless Steel""}",0.84
TST_227,2025-11-06T03:49:09.433Z,prod-api,kegerator refrigerator (Beer Coolers Kegerator),PASS,10000.00%,10/10,#C8E6C9,920,200,,0.95
TST_228,2025-11-06T03:49:12.775Z,prod-api,mini beer kegerator (Beer Coolers Kegerator),FAIL,0.00%,0/1,#FFCDD2,873,200,"Matched 0 of 1 item(s). Sample mismatches: {categoryName: ""Cooking"", productName: ""Whirlpool 30 Inch Smart Over-the-Range Microwave with 1.1 Cu. Ft. Capacity, 3-Speed 450 CFM Motor, 1000-Watt Cooking Power, 10 Power Levels, Popcorn Preset, Add 30 Seconds, LED Cooktop Lighting, Tap-to-Open Door, Sensor Cooking, and Microwave Presets: Fingerprint Resistant Stainless Steel""}",0.89
TST_229,2025-11-06T03:49:19.756Z,prod-api,corona kegerator (Beer Coolers Kegerator),PASS,10000.00%,10/10,#C8E6C9,1655,200,,1.68
TST_230,2025-11-06T03:49:23.260Z,prod-api,miller lite kegerator (Beer Coolers Kegerator),FAIL,0.00%,0/10,#FFCDD2,1064,200,"Matched 0 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""LG 6 cu. ft. Single Door Refrigerator with Recessed Handle in Platinum Silver""}, {categoryName: ""Refrigerators"", productName: ""LG 20"" 6 cu. ft. Single Door Upright Freezer with Extra Large Crisper, Direct Cooling System - Platinum Silver""}, {categoryName: ""Washers & Dryers"", productName: ""Maytag 27 Inch Pet Pro Option Smart Gas Top Load Dryer with 7.4 cu ft. Total Capacity, 13 Dryer Cycles, 5 Temperature Settings, Heavy-Duty Hinges, Sanitize Cycle, and Steam-Enhanced Dryer -  Classic Silver""}",1.08
TST_231,2025-11-06T03:49:29.294Z,prod-api,beer mini kegerator (Beer Coolers Kegerator),FAIL,0.00%,0/1,#FFCDD2,1066,200,"Matched 0 of 1 item(s). Sample mismatches: {categoryName: ""Cooking"", productName: ""Whirlpool 30 Inch Smart Over-the-Range Microwave with 1.1 Cu. Ft. Capacity, 3-Speed 450 CFM Motor, 1000-Watt Cooking Power, 10 Power Levels, Popcorn Preset, Add 30 Seconds, LED Cooktop Lighting, Tap-to-Open Door, Sensor Cooking, and Microwave Presets: Fingerprint Resistant Stainless Steel""}",1.1
TST_232,2025-11-06T03:49:34.662Z,prod-api,corona kegerator (Beer Coolers Kegerator),PASS,10000.00%,10/10,#C8E6C9,325,200,,0.35
TST_233,2025-11-06T03:49:37.673Z,prod-api,danby kegerator (Beer Coolers Kegerator),REVIEW,N/A,0/0,#FFE0B2,622,200,No results returned; requires manual review.,0.65
TST_234,2025-11-06T03:49:41.207Z,prod-api,guiness kegerator (Beer Coolers Kegerator),PASS,10000.00%,10/10,#C8E6C9,1386,200,,1.41
TST_235,2025-11-06T03:49:44.781Z,prod-api,heineken kegerator (Beer Coolers Kegerator),PASS,10000.00%,10/10,#C8E6C9,1176,200,,1.19
TST_236,2025-11-06T03:49:48.079Z,prod-api,portable kegerator (Beer Coolers Kegerator),PASS,10000.00%,6/6,#C8E6C9,1034,200,,1.05
TST_237,2025-11-06T03:49:51.535Z,prod-api,wine kegerator (Beer Coolers Kegerator),PASS,10000.00%,10/10,#C8E6C9,968,200,,0.98
TST_238,2025-11-06T03:49:56.988Z,prod-api,1 6 barrel kegerator (Beer Coolers Kegerator),FAIL,3000.00%,3/10,#FFCDD2,3163,200,"Matched 3 of 10 item(s). Sample mismatches: {categoryName: ""Refrigerators"", productName: ""LG Appliances 25 cu.ft. 3 Door French Door, 33 Standard Depth with Ice & Water Dispenser: Printproof Stainless Steel - LF25H6330S""}, {categoryName: ""Dishwashers"", productName: ""LG 24 Inch Front Control Dishwasher with LoDecibel(TM) Operation, QuadWash(TM), Dynamic Dry(TM), NeveRust(TM) Stainless Steel Tub - Stainless Steel""}, {categoryName: ""Refrigerators"", productName: ""LG 21 cu. ft., 3-Door French Door, Counter-Depth MAX(TM) Refrigerator with Ice Maker""}",3.18
